City_ID,City,Country,Lat,Lng,Max Temp (F),% Humidity,% Cloudiness,Wind Speed (mph),Current Description,Rain (inches),Snow (inches)
163,Steti,CZ,50.45,14.37,73.0,84,46,1.01,scattered clouds,0.0,0.0
164,Touros,BR,-5.2,-35.46,82.4,74,40,10.29,scattered clouds,0.0,0.0
165,Umm Lajj,SA,25.02,37.27,88.84,36,0,6.38,clear sky,0.0,0.0
166,Antofagasta,CL,-23.65,-70.4,60.8,67,100,9.17,overcast clouds,0.0,0.0
167,Hasaki,JP,35.73,140.83,68.0,100,40,1.12,fog,0.0,0.0
168,Borogontsy,RU,62.67,131.17,66.34,66,0,3.33,clear sky,0.0,0.0
169,Kolchugino,RU,56.3,39.38,54.09,87,13,8.28,few clouds,0.0,0.0
170,Mayumba,GA,-3.43,10.66,72.45,84,3,6.31,clear sky,0.0,0.0
171,Matagami,CA,49.75,-77.63,78.8,41,75,12.75,broken clouds,0.0,0.0
172,Severo-Kurilsk,RU,50.68,156.12,50.76,68,100,2.26,overcast clouds,0.0,0.0
173,Cabo San Lucas,MX,22.89,-109.91,87.8,62,90,6.93,overcast clouds,0.0,0.0
174,Barrow,US,71.29,-156.79,51.8,71,1,9.17,clear sky,0.0,0.0
175,Dongsheng,CN,39.82,109.98,63.84,63,85,10.54,overcast clouds,0.0,0.0
176,Eldorado,BR,-23.79,-54.28,67.41,77,98,6.29,overcast clouds,0.0,0.0
177,Quatre Cocos,MU,-20.21,57.76,73.0,83,40,6.93,scattered clouds,0.0,0.0
178,Rio Brilhante,BR,-21.8,-54.55,71.2,73,92,5.23,overcast clouds,0.0,0.0
179,Nioro,GM,13.35,-15.75,84.69,60,49,14.88,scattered clouds,0.0,0.0
180,Pangody,RU,65.85,74.49,51.67,97,100,15.43,light rain,0.34,0.0
181,Umm Kaddadah,SD,13.6,26.69,94.96,25,83,11.39,broken clouds,0.0,0.0
182,San Francisco,US,37.77,-122.42,66.99,55,40,17.22,scattered clouds,0.0,0.0
183,Solnechnyy,RU,50.72,136.63,53.53,81,62,6.42,broken clouds,0.0,0.0
184,Saint-Joseph,RE,-21.37,55.62,68.0,77,36,6.93,scattered clouds,0.0,0.0
185,Baykit,RU,61.67,96.37,65.12,66,100,1.23,overcast clouds,0.0,0.0
186,Djambala,CG,-2.54,14.75,78.89,44,50,3.87,scattered clouds,0.0,0.0
187,Laguna,US,38.42,-121.42,80.01,46,1,12.75,clear sky,0.0,0.0
188,Kyra,RU,49.58,111.98,55.36,87,100,2.82,overcast clouds,0.0,0.0
189,Shenavan,AM,40.05,43.93,69.8,40,40,13.87,scattered clouds,0.0,0.0
190,Atambua,ID,-9.11,124.89,69.33,91,91,4.94,overcast clouds,0.0,0.0
191,Tacuarembo,UY,-31.73,-55.98,52.72,74,81,5.75,broken clouds,0.0,0.0
192,Palmer,US,42.16,-72.33,84.99,88,75,9.17,thunderstorm,0.0,0.0
193,Boras,SE,57.72,12.94,61.0,87,75,8.05,broken clouds,0.0,0.0
194,Paredon,MX,16.03,-93.87,87.96,63,93,4.9,light rain,0.4,0.0
195,Tomatlan,MX,19.93,-105.25,94.78,41,94,10.09,overcast clouds,0.0,0.0
196,Lebedyn,UA,50.59,34.48,66.51,89,3,6.73,clear sky,0.0,0.0
197,Masuguru,TZ,-11.37,38.42,75.2,65,50,6.58,scattered clouds,0.0,0.0
198,Khatanga,RU,71.97,102.5,78.22,37,6,12.44,clear sky,0.0,0.0
199,Margate,GB,51.38,1.39,63.0,66,79,7.0,broken clouds,0.0,0.0
200,Escanaba,US,45.75,-87.06,84.0,50,1,8.05,clear sky,0.0,0.0
